id,score
1280,84 
1281,81 
1282,80 
1283,80 
1284,91 
1285,91 
1286,79 
1287,83 
1288,78 
1289,86 
1290,81 
1291,89 
1292,80 
1293,82 
1294,92 
1296,79 
1297,83 
1298,87 
1299,78 
1300,78 
1301,81 
1302,78 
1303,75 
1304,89 
1305,85 
1306,80 
1307,91 
1308,91 
1309,78 
1310,78 
1311,87 
1312,78 
1313,79 
1314,80 
1315,87 
1316,79 
1317,84 
1318,88 
1319,84 
1320,81 
1321,79 
1322,81 
1323,82 
1324,60 
1325,80 
1326,78 
1327,92 
1328,84 
1329,85 
1330,84 
1331,77 
1332,78 
1333,90 
1334,79 
1335,75 
1336,89 
1337,81 
1338,89 
1339,78 
1340,91 
1341,94 
1342,83 
1343,85 
1344,92 
1345,78 
1346,94 
1347,90 
1348,81 
1349,93 
1350,77 
1351,94 
1352,81 
1353,83 
1353,83 
1354,79 
1355,80 
1356,93 
1357,83 
1358,81 
1359,91 
1360,89 
1361,89 
1362,87 
1363,89 
1364,86 
1365,81 
1366,79 
1367,83 
1368,83 
1369,90 
1370,88 
1371,92 
1372,80 
1373,80 
1374,80 
1375,79 
1376,91 
1377,85 
1378,83 
1379,89 
1380,90 
1381,88 
1382,85 
1383,84 
1384,95 
1385,87 
1386,85 
1387,78 
1388,84 
1389,80 
1390,88 
1391,90 
1392,87 
1394,79 
1395,81 
1396,86 
1397,84 
1398,84 
1399,92 
1400,94 
1401,89 
1402,81 
1403,88 
1404,84 
1405,79 
1406,77 
1407,77 
1408,87 
1409,91 
1410,79 
1411,84 
1412,80 
1413,90 
1414,78 
1415,83 
1416,90 
1417,93 
1418,93 
1419,87 
1420,93 
1421,90 
1422,93 
1423,87 
1424,91 
1425,85 
1426,90 
1427,88 
1427,88 
1428,87 
1429,86 
1430,78 
1431,79 
1432,90 
1433,93 
1434,87 
1435,84 
1436,77 
1437,79 
1438,80 
1439,81 
1440,76 
1441,81 
1442,79 
1443,90 
1444,90 
1446,68 
1447,93 
1448,84 
1449,85 
1450,93 
1451,76 
1452,71 
1453,83 
1454,87 
1455,87 
1456,82 
1457,82 
1458,87 
1459,93 
1460,91 
1461,87 
1462,83 
1462,83 
1463,78 
1464,71 
1465,82 
1466,81 
1467,78 
1468,95 
1469,89 
1470,80 
1471,91 
1472,89 
1474,84 
1475,92 
1476,93 
1477,81 
1478,93 
1479,85 
1480,81 
1481,93 
1482,87 
1483,90 
1484,88 
1485,76 
1486,78 
1487,89 
1488,89 
1489,79 
1490,77 
1491,80 
1492,80 
1493,81 
1494,79 
1495,78 
1496,82 
1497,76 
1498,78 
1499,80 
1500,73 
1501,79 
1502,85 
1503,75 
1504,90 
1505,84 
1506,75 
1507,82 
1508,82 
1509,91 
1510,87 
1511,80 
1512,81 
1513,78 
1514,85 
1515,79 
1516,77 
1517,77 
1518,85 
1519,80 
1520,79 
1521,82 
1522,80 
1523,79 
1524,77 
1525,79 
1526,80 
1527,81 
1528,77 
1529,78 
1530,79 
1531,78 
1532,82 
1533,72 
1534,80 
1535,78 
1536,80 
1537,84 
1538,80 
1539,91 
1540,80 
1541,78 
1542,80 
1543,82 
1544,77 
1545,79 
1546,82 
1547,80 
1548,87 
1548,87 
1549,79 
1550,79 
1551,79 
1552,81 
1553,79 
1554,75 
1555,77 
1556,78 
1557,76 
1558,81 
1559,78 
1560,90 
1561,78 
1562,79 
1563,90 
1564,85 
1565,90 
1566,79 
1567,80 
1568,77 
1569,79 
1570,77 
1571,67 
1572,79 
1573,79 
1574,78 
1575,79 
1576,86 
1577,78 
1578,82 
1579,75 
1580,81 
1581,89 
1582,83 
1583,85 
1584,78 
1585,79 
1587,80 
1588,78 
1589,78 
1590,80 
1591,93 
1592,79 
1593,80 
1594,78 
1595,78 
1596,80 
1597,80 
1598,77 
1598,77 
1599,80 
1600,78 
1601,93 
1602,78 
1603,77 
1604,84 
1605,80 
1606,78 
1607,79 
1608,80 
1609,79 
1610,84 
1611,80 
1612,81 
1613,84 
1614,80 
1615,81 
1617,82 
1618,82 
1619,79 
1620,73 
1621,81 
1622,78 
1623,94 
1624,77 
1625,77 
1626,80 
1627,79 
1628,93 
1629,79 
1630,75 
1631,78 
1632,86 
1633,94 
1634,77 
1635,83 
1636,79 
1637,79 
1638,71 
1639,80 
1640,79 
1641,79 
1642,75 
1643,76 
1644,80 
1645,93 
1646,94 
1646,94 
1647,82 
1648,78 
1649,88 
1650,80 
1651,72 
1652,79 
